,ref,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,beans,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,second_taste,third_taste,fourth_taste
569,1666,Damson,U.k.,2015,Grenada,Crayfish Bay aka Non Pariel Estate,70.0,2.25,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,off,pungent,intense,
570,2064,Damson,U.k.,2018,Blend,"Angel Bar, Nicaragua, Madagascar",65.0,2.5,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sweet,vinegar,,
571,915,Dandelion,U.S.A,2012,Dominican republic,"Elvesia, 2011",70.0,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,spicy,fudgey,,
572,805,Dandelion,U.S.A,2012,Colombia,Colombian,70.0,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,grassy,green,candy spice,
573,805,Dandelion,U.S.A,2012,Costa rica,Upala,70.0,3.0,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,dried fruit,tannic,,
574,1085,Dandelion,U.S.A,2013,Venezuela,"Mantuano, 2012, batch 1",70.0,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,roasty,oreo shell,coffee,
575,1153,Dandelion,U.S.A,2013,Papua new guinea,"Papua New Guinea, batch 1",70.0,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,mild smoke,raspberry,cocoa,
576,1026,Dandelion,U.S.A,2013,Venezuela,"Patanemo, batch 3",70.0,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,licorice,sour,rich cocoa,
577,1026,Dandelion,U.S.A,2013,Venezuela,"Cumboto, farmer Jose Lugo, batch 1",70.0,2.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,acidic,sour,cocoa,
578,1387,Dandelion,U.S.A,2014,Dominican republic,"San Francisco de Macoris, Cibao region",70.0,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,cherry,rich choco,,
579,1219,Dandelion,U.S.A,2014,Belize,Maya Mountain,70.0,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,heavy roast,blackberry,,
580,1295,Dandelion,U.S.A,2014,Ecuador,"Camino Verde P., Balao, Guayas, 2013",70.0,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,gummy,nutty,bourbon,
581,1303,Dandelion,U.S.A,2014,Liberia,Buto,70.0,2.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,roasty,spicy,nutty,
582,1446,Dandelion,U.S.A,2015,Belize,"Maya Mtn., Break Bar- Snark",70.0,3.0,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,intense,roasty,coffee,raisin
583,1816,Dandelion,U.S.A,2016,Dominican republic,"Zorzal Reserva, 2015 H., Kerchner",70.0,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,cherry,rich choco,,
584,2024,Dandelion,U.S.A,2017,Costa rica,"Hacienda Azul, 2016 Harvest",70.0,3.0,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,cocoa,sour,toffee,earthy
585,2178,Dandelion,U.S.A,2018,India,"Anamalai, 2017 harvest",70.0,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,ripe orange,citrus,,
586,2178,Dandelion,U.S.A,2018,Honduras,"WAPU, La Mosquitia, 2017 harvest",70.0,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,nutty,moderate acidity,,
587,2178,Dandelion,U.S.A,2018,Sierra leone,"Gola Rainforest, 2017 harvest",70.0,3.0,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,vegetal,high astringency,,
588,2386,Dandelion,U.S.A,2019,Vietnam,"Ben Tre, 2018 Harvest",70.0,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,green apple,sticky,,
589,654,Dandelion (aka Brower Ave),U.S.A,2011,Dominican republic,Dominican Republic,70.0,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,grassy,fruity,brownie,
590,654,Dandelion (aka Brower Ave),U.S.A,2011,Madagascar,Madagascar,70.0,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,brownie,red berry,,
591,654,Dandelion (aka Brower Ave),U.S.A,2011,Tanzania,Tanzania,70.0,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,cocoa flavor dominates,,,
592,423,Danta,Guatemala,2009,Guatemala,Las Acacias E.,60.0,3.25,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,wood,holiday spice,soap,
593,423,Danta,Guatemala,2009,Guatemala,Las Acacias E.,75.0,3.0,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,dark woody,plum,astringent,
594,661,Danta,Guatemala,2011,Guatemala,Los Ujuxtes,60.0,3.5,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,oily,dried fruit,vanilla,
595,987,Danta,Guatemala,2012,Guatemala,Las Acacias E.,70.0,4.0,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sweet spice,floral,,
596,987,Danta,Guatemala,2012,Guatemala,Los Ujuxtes,70.0,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,spicy,,,
597,987,Danta,Guatemala,2012,Madagascar,Sambirano,70.0,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,oily,toffee,hints of fruit,
598,991,Danta,Guatemala,2012,Guatemala,"Oscuro, Finca Chimelb",70.0,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,nutty,ashey,spicy pepper,
599,987,Danta,Guatemala,2012,Venezuela,Chuao,75.0,3.0,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,gummy,fatty,caramel,
600,1223,Danta,Guatemala,2014,Guatemala,Los Ujuxtes,82.0,3.25,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,fatty,sunflower,peanutbutter,
601,1920,DAR,U.S.A,2016,Blend,"DUO, batch 002, Ecuador, Costa Rica",70.0,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,floral,licorice,roasty,
602,1920,DAR,U.S.A,2016,Vietnam,Vietnam,72.0,3.0,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,raisins,astringent,,
603,1920,DAR,U.S.A,2016,Venezuela,"Venezuela, batch 122",72.0,2.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,nut,tobacco,burnt,off notes
604,2342,Darcis,Belgium,2019,Vietnam,Mekong Delta,70.0,3.25,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,muted,creamy,basic cocoa,
605,2342,Darcis,Belgium,2019,Peru,Piura,72.0,3.0,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,muted,creamy,grapes,fatty
606,1550,Dark Forest,U.S.A,2015,Venezuela,Ocumare,70.0,3.25,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,roasty,nutty,sweet,
607,1554,Dark Forest,U.S.A,2015,Ecuador,Ecuador,70.0,3.25,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,bold,floral,rum,
608,1550,Dark Forest,U.S.A,2015,Madagascar,Madagascar,70.0,3.0,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sweet,strong sour,acidic,
609,1554,Dark Forest,U.S.A,2015,Tanzania,Tanzania,70.0,3.0,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,intense,sweet,brownie,
610,1708,Dark Forest,U.S.A,2016,Bolivia,Bolivia,75.0,3.25,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,mild cherry,fatty,,
611,907,Davis,U.S.A,2012,Blend,West Africa,58.0,3.25,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,nice melt,odd rubber notes,,
612,1093,Davis,U.S.A,2013,Dominican republic,Rainforest,70.0,2.75,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,chalky,vanilla,caramel,
613,1093,Davis,U.S.A,2013,Venezuela,Venezuela,70.0,2.75,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,fatty,powdery,nut,sl. Burnt
614,1093,Davis,U.S.A,2013,Ghana,Ghana,70.0,2.5,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,vanilla,fatty,basic cocoa,
615,1462,De Mendes,Brazil,2015,Brazil,"Nativo, Varzea",72.0,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,texture issues,brownie,,
616,1462,De Mendes,Brazil,2015,Brazil,"Selvagem, Jari",65.0,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,one dimensional,brownie,,
617,1832,De Villiers,South africa,2016,Madagascar,"Sambirano Valley, batch 2477",70.0,3.0,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,high roast,fruit,,
618,1832,De Villiers,South africa,2016,Uganda,Bundibugyo District,70.0,2.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,high roast,intense,fatty,
619,175,Dean and Deluca (Belcolade),U.S.A,2007,Costa rica,Costa Rica,64.0,3.0,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,dark coffee,cocoa,,
620,175,Dean and Deluca (Belcolade),U.S.A,2007,Ecuador,Ecuador,71.0,3.0,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,cinamon,nutmeg,coffee,
621,175,Dean and Deluca (Belcolade),U.S.A,2007,Ghana,Ghana,60.0,3.0,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,nutty,simple,sweet,
622,180,Dean and Deluca (Belcolade),U.S.A,2007,Papua new guinea,Papua New Guinea,64.0,3.0,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,waxy,tobacco,smokey,
623,180,Dean and Deluca (Belcolade),U.S.A,2007,Peru,Peru,64.0,3.0,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,mild mint,basic cocoa,,
624,170,Dean and Deluca (Belcolade),U.S.A,2007,Madagascar,Madagascar,66.0,2.5,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sandy,cloying,rich cocoa,
625,263,Debauve & Gallais (Michel Cluizel),France,2008,Venezuela,Venezuela,66.0,3.75,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,fatty,rich cocoa,roasty,
626,423,Debauve & Gallais (Michel Cluizel),France,2009,Papua new guinea,Papua New Guinea,64.0,3.0,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,smokey,chalky,berry,caramel
627,2222,Definite,Dominican republic,2018,Dominican republic,Duarte Province,80.0,3.0,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,mild bitter,fatty,grassy,
628,2222,Definite,Dominican republic,2018,Dominican republic,Duarte Province,70.0,2.6,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,dirty,floral,unrefined,
629,2222,Definite,Dominican republic,2018,Dominican republic,Elvesia,70.0,2.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,metallic,dirt/ earthy,,
630,1916,Desbarres,Canada,2016,Tanzania,"Kilombero, batch 41",72.0,2.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,vanilla,chemical,rubber,
631,2422,Desbarres,Canada,2019,Guatemala,"Monte Grande, batch 178",72.0,3.0,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,smokey,roasty,acidic,rich
632,166,DeVries,U.S.A,2007,Costa rica,Costa Rica,77.0,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,red berry,lingering coffee,,
633,166,DeVries,U.S.A,2007,Dominican republic,Dominican Republic,77.0,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sticky,woodsy,rum,
634,241,DeVries,U.S.A,2008,Bolivia,Bolivian,80.0,2.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,intense fruit,bitter ending,,
635,769,Dick Taylor,U.S.A,2011,Ecuador,Ecuador,70.0,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,grassy,tea,late sour,
636,769,Dick Taylor,U.S.A,2011,Dominican republic,La Red,74.0,3.0,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,earthy,tart,sour,
637,661,Dick Taylor,U.S.A,2011,Madagascar,Sambirano,80.0,2.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sandy,flat,hint of berry,
638,682,Dick Taylor,U.S.A,2011,Venezuela,Mantuano,75.0,2.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sticky,very roasty,nutty,
639,895,Dick Taylor,U.S.A,2012,Bolivia,Bolivia,75.0,2.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,dry,mint,medicinal,
640,1193,Dick Taylor,U.S.A,2013,Ecuador,Camino Verde,76.0,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,butter,floral,rum,
641,1034,Dick Taylor,U.S.A,2013,Ecuador,"Ecuador, Choc. Garage Exclusive",70.0,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,oily,black pepper,roasty,
642,1235,Dick Taylor,U.S.A,2014,Dominican republic,Elvesia,74.0,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,mild fruit and spice,roasty,,
643,1634,Dick Taylor,U.S.A,2015,Bolivia,"Alto Beni, Wild Harvest, Limited Ed.",70.0,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sticky,rich,cherry,
644,1864,Dick Taylor,U.S.A,2016,Vietnam,Tien Giang,78.0,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,tropical berry,intense,,
645,2016,Dick Taylor,U.S.A,2017,Solomon islands,"Solomon Is.,batch 17158, N.Vela",72.0,4.0,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,well defined,creamy,cherry,
646,1952,Dick Taylor,U.S.A,2017,Guatemala,Lanquin Estate,70.0,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,blackberry,raisns,,
647,1972,Dick Taylor,U.S.A,2017,Brazil,"Fazenda Camboa, Bahia, batch 17009",75.0,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sticky,roasty nibs,grapes,
648,2258,Dick Taylor,U.S.A,2018,Fiji,"Vanua Levu, Matasawalevu",80.0,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,cocoa,tea,malt,
649,2270,Dick Taylor,U.S.A,2019,Belize,"Maya Mtn, Toledo",72.0,4.0,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,creamy,sticky,dried fruit,
650,2434,Dick Taylor,U.S.A,2019,Madagascar,"Akesson P., Sambirano",72.0,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sticky,dried fruit,toast,cocoa
651,2466,Dick Taylor,U.S.A,2020,Blend,"Northerner, Madagascar and Brazil",73.0,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,burnt honey,earthy,,
652,2402,Diogo Vaz,Sao tome & principe,2019,Sao tome,"Sao Tome, batch OST-18-01",65.0,3.0,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,complex,sweet,sour,grassy
653,2406,Diogo Vaz,Sao tome & principe,2019,Sao tome,"Sao Tome, batch TRI-18-002, trinitario",75.0,3.0,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,bland,fatty,fruit,
654,2402,Diogo Vaz,Sao tome & principe,2019,Sao tome,"Sao Tome, unroasted, batch UNR-18-003",70.0,2.75,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,cocoa,raw,dirty,chemical
655,2406,Diogo Vaz,Sao tome & principe,2019,Sao tome,"Sao Tome, Grand Cru Plantation, amelonado",75.0,2.5,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,late cocoa,harsh,off notes,
656,1407,Doble & Bignall,U.k.,2014,Nicaragua,Johe,72.0,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,nutty,caramel,toffee,
657,1371,Doble & Bignall,U.k.,2014,Panama,"Panama, Raven",72.0,3.25,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,mild cherry,earthy,,
658,1371,Doble & Bignall,U.k.,2014,Venezuela,"Puerto Cabello, Mantuano",72.0,3.25,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,fatty,rasin,nutty,
659,1688,Doble & Bignall,U.k.,2015,Venezuela,Puerto Cabello,85.0,3.0,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,intense,spicy,floral,
660,63,Dolfin (Belcolade),Belgium,2006,Blend,Noir,70.0,1.5,3,have_bean,have_not_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,acidic,astringent,unpleasant,
661,304,Dolfin (Belcolade),Belgium,2008,Blend,"Africa, West Africa",88.0,3.0,3,have_bean,have_not_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sticky,floral,,
662,87,Domori,Italy,2006,Venezuela,Carenero Superior,70.0,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,creamy,basic cocoa,,
663,87,Domori,Italy,2006,Peru,Apurimac,70.0,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,floral,olive,,
664,87,Domori,Italy,2006,Venezuela,Sur del Lago Classificado,70.0,3.0,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,long lasting,fruit,,
665,111,Domori,Italy,2007,Venezuela,Porcelana,70.0,4.0,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,creamy,complex,coffee,
666,192,Domori,Italy,2007,Ecuador,Ecuador,70.0,4.0,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,creamy,nuts,woody,cocoa
667,192,Domori,Italy,2007,Venezuela,"Ocumare 67, Puertofino",70.0,4.0,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,creamy,mint,tobacco,olive
668,192,Domori,Italy,2007,Indonesia,"Java, Javablond",70.0,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,creamy,smokey,tobacco,
669,135,Domori,Italy,2007,Madagascar,Madagascar,70.0,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,fruity,basic cocoa,,
670,192,Domori,Italy,2007,Madagascar,Madagared,70.0,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,smooth,banana,cocoa,
671,129,Domori,Italy,2007,Venezuela,"Ocumare 61, Puertomar",75.0,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sticky,smoke,ham,earthy
672,135,Domori,Italy,2007,Venezuela,Granella,60.0,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,mild spice,licorice,,
673,272,Domori,Italy,2008,Blend,Ilblend,70.0,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sticky,olive,,
674,272,Domori,Italy,2008,Blend,Blend No. 1,78.0,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sticky,grassy,coffee,
675,227,Domori,Italy,2008,Venezuela,"Carupano, H. San Jose",70.0,3.0,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,cucumber,hot spices,,
676,272,Domori,Italy,2008,Colombia,Teyuna,70.0,3.0,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,creamy,woody,earthy,
677,470,Domori,Italy,2010,Venezuela,"Chuao, Hacienda San Jose",70.0,3.0,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,subtle,caramel,sour milk,
678,693,Domori,Italy,2011,Venezuela,"Canoabo, Hacienda San Jose",70.0,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,smooth,intense,smoke,nut
679,863,Domori,Italy,2012,Venezuela,Guasare,70.0,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,creamy,coffee,caramel,
680,863,Domori,Italy,2012,Tanzania,Morogoro,70.0,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sticky,nutty,,
681,1672,Domori,Italy,2015,Ecuador,Hacienda Victoria,70.0,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,floral,well developed,creamy,
682,1672,Domori,Italy,2015,Venezuela,Ocumare 77,70.0,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,nutty,strawberry,creamy,
683,2040,Domori,Italy,2018,Tanzania,Tanzania,70.0,4.0,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,creamy,sticky,fruit,
